City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,talcahuano,-36.7167,-73.1167,284.97,76,0,3.09,CL,1704782975
322,kununurra,-15.7667,128.7333,305.14,58,80,3.6,AU,1704782809
323,richards bay,-28.783,32.0377,298.5,75,100,3.91,ZA,1704782975
324,gumla,23.05,84.55,299.12,31,0,4.63,IN,1704782975
325,al faw,29.9776,48.4741,287.15,31,97,2.43,IQ,1704782975
326,kapuskasing,49.4169,-82.4331,255.15,85,100,2.06,CA,1704782976
327,badger,64.8,-147.5333,260.27,78,75,0.0,US,1704782976
328,tralee,52.2704,-9.7026,272.9,94,35,4.05,IE,1704782976
329,qianzhou,28.3167,109.7167,289.09,64,26,0.73,CN,1704782976
330,igarka,67.4667,86.5833,257.4,92,100,6.15,RU,1704782977
331,paoua,7.2427,16.4406,297.05,17,3,1.68,CF,1704782977
332,el calafate,-50.3408,-72.2768,278.65,70,27,4.12,AR,1704782977
333,bel ombre,-4.6167,55.4167,302.06,74,20,6.17,SC,1704782977
334,bopolu,7.0667,-10.4875,295.5,99,31,0.54,LR,1704782978
335,san luis de la loma,17.2706,-100.8939,296.87,77,100,1.49,MX,1704782978
336,jala,21.0833,-104.4333,286.6,94,70,1.43,MX,1704782978
337,wenling,28.3669,121.36,288.66,68,8,2.56,CN,1704782978
338,bingol,38.8847,40.4939,278.44,75,75,2.06,TR,1704782711
339,kutum,14.2,24.6667,291.61,26,6,1.55,SD,1704782979
340,sinop,41.7711,34.8709,277.39,93,100,1.26,TR,1704782979
341,mar del plata,-38.0023,-57.5575,291.53,92,0,0.89,AR,1704782979
342,boa vista,2.8197,-60.6733,301.14,57,0,3.6,BR,1704782979
343,tataouine,32.9297,10.4518,280.05,54,0,3.11,TN,1704782980
344,sao carlos,-22.0175,-47.8908,292.87,80,0,1.68,BR,1704782980
345,colares,38.7992,-9.4469,283.33,97,100,4.47,PT,1704782980
346,dombarovskiy,50.7587,59.5386,255.93,89,100,2.68,RU,1704782980
347,chonglong,29.7806,104.8522,289.41,55,47,1.98,CN,1704782980
348,rong kwang,18.339,100.3174,303.86,34,5,1.82,TH,1704782981
349,lompoc,34.6391,-120.4579,282.0,54,0,3.09,US,1704782833
350,bisert',56.8617,59.0523,252.76,97,100,5.05,RU,1704782981
351,tadine,-21.55,167.8833,300.76,72,1,2.11,NC,1704782981
352,guacui,-20.7756,-41.6794,294.2,91,100,1.45,BR,1704782981
353,cold lake,54.4502,-110.2017,256.12,85,100,1.54,CA,1704782982
354,carai,-17.1889,-41.6947,291.69,97,75,0.14,BR,1704782982
355,laojunmiao,39.8333,97.7333,276.26,10,5,1.72,CN,1704782982
356,bhuj,23.2667,69.6667,296.04,27,0,10.31,IN,1704782789
357,ust-tsilma,65.441,52.1498,242.93,100,100,1.34,RU,1704782983
358,kavaratti,10.5669,72.642,300.91,75,71,3.28,IN,1704782983
359,valdivia,-39.8142,-73.2459,284.2,94,0,0.97,CL,1704782983
360,loreto,22.2667,-101.9667,283.38,53,86,6.34,MX,1704782983
361,busteni,45.4,25.5333,265.16,85,100,2.18,RO,1704782983
362,beledweyne,4.7358,45.2036,301.63,28,59,9.03,SO,1704782984
363,yeniseysk,58.4497,92.1703,264.23,80,100,6.26,RU,1704782984
364,kudahuvadhoo,2.6708,72.8944,301.14,77,100,6.78,MV,1704782984
365,howard springs,-12.497,131.047,303.7,82,100,3.09,AU,1704782984
366,roxas,11.5853,122.7511,300.45,82,84,2.86,PH,1704782985
367,nanning,22.8167,108.3167,291.4,78,100,2.99,CN,1704782985
